1 372 373.534
2 157 152.932
3 75 83.7985
4 61 53.0043
5 38 36.5778
6 24 26.7726
7 24 20.4481
8 15 16.1297
9 9 13.0496
10 11 10.7754
11 7 9.0483
12 11 7.70581
13 9 6.64158
14 5 5.78364
15 8 5.08191
16 4 4.50061
17 1 4.01368
18 4 3.60174
19 5 3.25013
20 3 2.94762
21 2 2.68547
22 2 2.45681
23 3 2.25617
24 2 2.07914
25 1 1.92217
26 2 1.78233
27 3 1.65721
28 2 1.54483
29 3 1.4435
30 2 1.35182
31 1 1.26861
32 1 1.19286
33 2 1.12369
34 1 1.06037
36 1 0.948795
37 1 0.899498
39 1 0.81177
41 1 0.736278
42 2 0.702421
43 1 0.670848
44 1 0.641356
47 1 0.563675
48 1 0.540898
50 1 0.499298
55 1 0.414105
57 1 0.386034
58 1 0.373057
59 1 0.360724
61 1 0.337824
62 1 0.327183
65 1 0.298112
72 1 0.243676
73 1 0.237134
94 1 0.143878
106 1 0.113414
107 1 0.111324
120 1 0.0886872
125 1 0.081788
127 1 0.079252
129 1 0.0768322
141 1 0.0643948
376 1 0.00913558
436 1 0.00679916
