1 4116 4067.37
2 1634 1665.27
3 868 912.472
4 585 577.158
5 438 398.291
6 272 291.524
7 220 222.657
8 181 175.635
9 142 142.096
10 121 117.332
11 77 98.5259
12 85 83.9077
13 67 72.3194
14 68 62.9774
15 70 55.3363
16 49 49.0067
17 36 43.7046
18 48 39.2189
19 43 35.3903
20 25 32.0963
21 32 29.2418
22 21 26.752
23 31 24.5672
24 16 22.6396
25 19 20.9303
26 17 19.4076
27 21 18.0452
28 17 16.8214
29 15 15.7181
30 18 14.7198
31 16 13.8138
32 13 12.9889
33 14 12.2358
34 11 11.5463
35 11 10.9135
36 7 10.3313
37 12 9.79454
38 4 9.29853
39 8 8.83927
40 6 8.41322
41 10 8.01725
42 5 7.64859
43 9 7.30479
44 7 6.98366
45 6 6.68325
46 8 6.40182
47 12 6.1378
48 8 5.88978
49 4 5.6565
50 9 5.43681
51 5 5.22967
52 3 5.03415
53 3 4.8494
54 5 4.67463
55 8 4.50914
56 4 4.35229
57 7 4.20348
58 4 4.06218
59 3 3.92788
60 2 3.80014
61 7 3.67853
62 5 3.56266
63 7 3.45218
64 1 3.34677
65 4 3.24611
66 2 3.14992
67 3 3.05795
68 2 2.96994
69 1 2.88568
70 2 2.80496
71 1 2.72758
72 6 2.65336
73 4 2.58212
74 2 2.51372
75 5 2.448
76 2 2.38482
77 3 2.32406
78 3 2.26559
79 3 2.2093
80 4 2.15508
81 2 2.10283
82 5 2.05247
83 1 2.00389
84 2 1.95701
85 3 1.91176
86 1 1.86806
87 2 1.82584
88 2 1.78504
89 1 1.74559
92 1 1.63478
93 3 1.60018
94 2 1.56667
95 2 1.5342
97 2 1.47221
98 2 1.44262
100 1 1.38605
101 1 1.35901
102 2 1.33274
104 2 1.28245
105 1 1.25837
106 2 1.23496
107 1 1.21219
108 1 1.19005
111 2 1.12715
112 2 1.10729
113 1 1.08795
114 1 1.06911
116 2 1.03287
117 1 1.01544
118 1 0.99844
119 1 0.981868
120 1 0.965706
121 2 0.949939
123 1 0.919542
124 1 0.904887
125 2 0.890581
127 1 0.862966
129 1 0.836617
130 1 0.823893
134 2 0.775791
137 1 0.742427
138 1 0.731783
141 2 0.701188
142 2 0.691416
143 1 0.681846
144 1 0.672473
146 1 0.654299
148 1 0.636851
152 1 0.603986
154 2 0.5885
155 1 0.580979
156 1 0.573601
157 1 0.566363
161 2 0.53874
162 1 0.532149
164 1 0.519327
166 1 0.506962
167 1 0.500945
172 2 0.472406
178 1 0.441267
180 1 0.431569
186 1 0.404319
188 1 0.395807
193 2 0.375667
196 1 0.364312
204 2 0.336433
206 1 0.329963
210 2 0.317571
211 1 0.314582
212 2 0.311635
217 1 0.297504
232 1 0.260431
236 1 0.251714
242 1 0.239437
252 1 0.220883
255 1 0.215737
256 1 0.214061
258 1 0.210768
259 1 0.20915
271 1 0.191102
275 1 0.185603
277 1 0.182942
292 1 0.16469
299 1 0.157094
310 1 0.146178
313 1 0.143398
319 1 0.138071
320 1 0.137212
325 1 0.133035
326 1 0.132223
331 1 0.12827
333 1 0.126739
335 1 0.125234
376 1 0.0994763
377 1 0.0989506
391 1 0.0920089
415 1 0.0816987
418 1 0.080533
425 1 0.0779081
436 1 0.0740353
473 1 0.0629281
480 1 0.0611099
501 1 0.056104
520 1 0.0520866
527 1 0.0507147
528 1 0.0505231
588 1 0.040754
620 1 0.0366622
627 1 0.0358494
651 1 0.0332588
751 1 0.0250015
772 1 0.0236615
816 1 0.0211815
921 1 0.0166318
1094 1 0.0117916
1241 1 0.00916553
1282 1 0.0085891
1431 1 0.00689469
1722 1 0.00476245
2050 1 0.00336101
2159 1 0.00303035
7444 1 0.000255077
8277 1 0.000206324
20776 1 3.27518e-05
